churn,sexo,idoso,possui parceiro,possui dependentes,tempo contrato,servico telefone,multiplas linhas,servico internet,suporte tecnico,streaming tv,streaming filmes,contrato conta,preco diario,cobrancas mensais,total de encargos,excedente a mensalidade,churn_label
1,Feminino,1,0,0,3,1,1,Fibra optica,0,0,0,Mensal,2.5,75.0,256.2,181.2,Saíram
1,Feminino,0,0,0,2,1,0,Fibra optica,0,1,0,Mensal,2.7,79.8,164.5,84.8,Saíram
0,Feminino,0,1,1,23,1,1,Nao disponivel,0,0,0,Dois anos,0.9,25.6,514.8,489.2,Permaneceram
1,Feminino,0,1,0,70,1,1,Fibra optica,1,1,1,Um ano,3.6,109.5,7674.6,7565.0,Saíram
0,Feminino,0,0,0,29,1,1,Nao disponivel,0,0,0,Mensal,0.8,25.2,702.0,676.8,Permaneceram
0,Feminino,0,0,0,43,1,0,Nao disponivel,0,0,0,Dois anos,0.7,19.6,779.2,759.6,Permaneceram
0,Masculino,1,0,0,18,1,1,DSL,0,0,0,Mensal,1.9,58.4,964.9,906.5,Permaneceram
0,Feminino,0,1,0,71,1,1,Nao disponivel,0,0,0,Dois anos,0.8,25.0,1873.7,1848.6,Permaneceram
1,Masculino,1,1,0,27,1,1,Fibra optica,0,0,0,Mensal,2.5,75.5,1894.0,1818.4,Saíram
0,Feminino,0,0,0,9,1,0,Nao disponivel,0,0,0,Mensal,0.6,19.0,157.6,138.6,Permaneceram
0,Feminino,1,1,0,48,1,0,Fibra optica,0,0,0,Mensal,2.4,70.6,3545.0,3474.4,Permaneceram
0,Feminino,0,0,0,27,1,0,Nao disponivel,0,0,0,Um ano,0.6,19.2,501.4,482.2,Permaneceram
0,Feminino,1,1,0,70,1,1,DSL,1,1,1,Dois anos,3.1,92.2,6474.4,6382.2,Permaneceram
0,Feminino,0,0,0,58,1,1,Fibra optica,0,1,1,Um ano,3.6,107.8,6332.8,6225.0,Permaneceram
0,Feminino,0,0,0,60,1,1,Fibra optica,0,1,1,Dois anos,3.5,104.7,6333.8,6229.1,Permaneceram
0,Masculino,0,0,0,46,1,1,Fibra optica,1,1,1,Dois anos,3.6,108.6,4903.2,4794.6,Permaneceram
1,Feminino,0,0,0,1,1,0,Nao disponivel,0,0,0,Mensal,0.7,20.5,20.5,0.0,Saíram
1,Masculino,0,0,0,66,1,0,Fibra optica,0,1,1,Mensal,3.3,99.5,6710.5,6611.0,Saíram
1,Feminino,0,0,0,1,1,0,Fibra optica,0,0,1,Mensal,2.7,82.0,82.0,0.0,Saíram
0,Feminino,0,1,1,8,1,0,Nao disponivel,0,0,0,Dois anos,0.6,19.0,201.7,182.6,Permaneceram
0,Feminino,0,1,1,68,1,0,Nao disponivel,0,0,0,Dois anos,0.6,19.4,1292.6,1273.3,Permaneceram
1,Masculino,0,0,0,18,0,0,DSL,0,0,0,Mensal,1.1,33.5,600.0,566.5,Saíram
1,Feminino,1,1,0,11,1,1,Fibra optica,0,1,1,Mensal,3.3,99.6,1131.2,1031.6,Saíram
1,Feminino,0,0,0,1,1,0,Fibra optica,0,1,0,Mensal,2.8,84.3,84.3,0.0,Saíram
0,Feminino,0,0,0,46,1,1,Fibra optica,0,1,1,Um ano,3.4,101.1,4674.4,4573.3,Permaneceram
0,Feminino,0,0,0,8,1,0,Nao disponivel,0,0,0,Dois anos,0.7,20.0,141.6,121.6,Permaneceram
0,Masculino,0,1,1,9,1,0,Fibra optica,1,1,1,Mensal,3.4,103.1,970.4,867.4,Permaneceram
0,Masculino,0,1,1,1,1,0,Fibra optica,0,0,1,Mensal,2.7,81.0,81.0,0.0,Permaneceram
0,Masculino,0,1,0,63,1,1,Fibra optica,0,1,1,Dois anos,3.4,102.6,6296.8,6194.2,Permaneceram
0,Masculino,0,0,0,18,1,0,Nao disponivel,0,0,0,Mensal,0.6,19.0,348.8,329.8,Permaneceram
1,Feminino,0,0,0,1,1,0,Fibra optica,0,0,0,Mensal,2.5,74.6,74.6,0.0,Saíram
1,Masculino,0,0,0,13,1,1,Fibra optica,1,1,1,Mensal,3.3,99.0,1301.7,1202.7,Saíram
1,Feminino,0,0,0,7,1,0,Fibra optica,0,0,1,Mensal,2.6,79.3,523.2,443.8,Saíram
0,Masculino,0,1,1,18,1,0,Fibra optica,1,0,1,Mensal,2.9,85.6,1601.5,1515.9,Permaneceram
0,Masculino,0,1,1,37,1,0,DSL,1,0,0,Um ano,2.0,58.8,2203.1,2144.4,Permaneceram
1,Masculino,0,0,0,12,1,1,Fibra optica,0,1,1,Mensal,3.6,106.7,1253.9,1147.2,Saíram
1,Feminino,0,0,0,43,0,0,DSL,0,1,1,Mensal,1.6,49.0,2076.2,2027.2,Saíram
0,Feminino,0,1,0,63,1,1,Fibra optica,1,1,1,Mensal,3.6,108.8,6871.7,6763.0,Permaneceram
0,Masculino,0,1,1,6,1,0,Nao disponivel,0,0,0,Dois anos,0.7,20.4,107.6,87.2,Permaneceram
1,Masculino,1,0,0,24,1,1,Fibra optica,0,1,1,Mensal,3.4,103.0,2496.7,2393.8,Saíram
1,Feminino,0,0,0,2,1,0,Fibra optica,0,1,1,Mensal,3.0,90.4,168.2,77.8,Saíram
1,Masculino,0,1,1,38,1,1,Fibra optica,0,1,0,Mensal,3.2,94.6,3624.3,3529.6,Saíram
1,Masculino,0,1,0,33,1,0,Fibra optica,0,1,1,Um ano,3.2,95.8,3036.8,2941.0,Saíram
0,Feminino,0,0,0,48,1,1,Fibra optica,1,1,1,Mensal,3.5,103.8,4946.0,4842.2,Permaneceram
0,Masculino,0,0,0,4,1,0,Fibra optica,0,0,1,Mensal,2.9,86.0,308.1,222.0,Permaneceram
0,Feminino,0,0,0,29,1,1,DSL,1,0,0,Mensal,2.2,67.4,1801.1,1733.6,Permaneceram
0,Masculino,0,0,0,27,1,0,DSL,0,0,0,Um ano,1.8,55.4,1477.6,1422.2,Permaneceram
0,Masculino,0,1,1,65,1,1,DSL,1,1,1,Dois anos,2.8,84.2,5324.5,5240.3,Permaneceram
0,Masculino,0,0,0,31,1,1,Fibra optica,1,0,0,Um ano,2.7,81.7,2548.6,2467.0,Permaneceram
0,Feminino,0,1,0,49,1,1,Fibra optica,0,1,1,Mensal,3.4,100.8,4847.4,4746.5,Permaneceram
0,Masculino,0,1,1,72,1,1,Fibra optica,1,1,1,Dois anos,3.8,114.4,8100.6,7986.1,Permaneceram
0,Feminino,0,0,0,5,1,1,DSL,0,0,1,Mensal,2.1,64.0,370.2,306.2,Permaneceram
0,Masculino,0,1,0,1,1,0,DSL,0,0,0,Mensal,1.9,55.7,55.7,0.0,Permaneceram
0,Feminino,1,0,0,33,0,0,DSL,0,1,1,Mensal,2.0,59.4,1884.6,1825.2,Permaneceram
0,Feminino,0,0,0,1,0,0,DSL,1,0,0,Mensal,1.2,35.9,35.9,0.0,Permaneceram
0,Feminino,0,1,1,65,1,1,Nao disponivel,0,0,0,Dois anos,0.9,26.0,1654.8,1628.8,Permaneceram
0,Feminino,0,0,0,60,1,1,DSL,1,1,1,Um ano,2.7,80.6,4847.0,4766.5,Permaneceram
0,Masculino,1,1,0,63,1,0,DSL,1,1,1,Um ano,2.8,84.0,5329.6,5245.6,Permaneceram
1,Feminino,1,0,0,3,1,0,Fibra optica,0,0,0,Mensal,2.3,70.4,204.7,134.3,Saíram
0,Feminino,1,1,0,55,1,1,DSL,0,0,0,Mensal,1.7,51.6,2838.6,2786.9,Permaneceram
0,Masculino,0,1,1,68,1,0,Fibra optica,1,1,1,Um ano,3.5,105.8,7322.5,7216.8,Permaneceram
0,Feminino,1,1,0,72,1,1,Fibra optica,1,0,0,Dois anos,3.2,96.6,6827.5,6730.9,Permaneceram
1,Feminino,0,1,0,21,1,1,Fibra optica,0,0,1,Mensal,2.9,86.5,1808.7,1722.2,Saíram
1,Masculino,0,0,0,5,1,0,Fibra optica,0,0,0,Mensal,2.3,69.8,324.6,254.8,Saíram
0,Feminino,0,1,0,37,1,0,Nao disponivel,0,0,0,Mensal,0.6,19.5,805.2,785.7,Permaneceram
0,Feminino,0,0,0,29,1,1,DSL,0,1,1,Um ano,2.4,71.0,2080.1,2009.1,Permaneceram
0,Feminino,0,1,0,64,1,1,Fibra optica,1,1,1,Mensal,3.7,111.2,6953.4,6842.2,Permaneceram
0,Masculino,0,0,0,46,1,0,Nao disponivel,0,0,0,Dois anos,0.7,20.0,902.0,882.0,Permaneceram
1,Feminino,1,0,0,7,1,0,Fibra optica,0,0,0,Mensal,2.5,76.4,503.6,427.2,Saíram
0,Feminino,1,0,0,23,1,1,Fibra optica,0,0,0,Mensal,2.6,79.4,1835.3,1756.0,Permaneceram
0,Masculino,0,1,0,68,1,1,Nao disponivel,0,0,0,Dois anos,0.8,25.2,1728.2,1703.0,Permaneceram
0,Feminino,0,1,0,41,0,0,DSL,1,0,0,Um ano,1.2,35.4,1391.6,1356.2,Permaneceram
1,Masculino,0,1,1,2,1,0,Fibra optica,0,1,1,Mensal,3.0,89.6,185.6,96.0,Saíram
0,Feminino,0,0,1,17,1,1,Fibra optica,1,0,0,Mensal,3.1,92.7,1556.8,1464.1,Permaneceram
0,Masculino,0,1,1,55,1,0,Nao disponivel,0,0,0,Dois anos,0.6,19.4,1153.2,1133.9,Permaneceram
0,Feminino,0,1,1,5,1,0,DSL,0,0,0,Mensal,1.6,49.4,232.6,183.2,Permaneceram
0,Feminino,0,1,0,68,1,1,DSL,1,0,0,Dois anos,2.4,70.9,4911.4,4840.5,Permaneceram
0,Masculino,1,1,0,7,1,1,Fibra optica,0,0,0,Mensal,2.5,75.4,533.0,457.6,Permaneceram
1,Feminino,0,0,0,6,1,0,Fibra optica,0,0,0,Mensal,2.3,69.2,418.4,349.2,Saíram
0,Feminino,1,0,0,41,1,1,Fibra optica,0,1,1,Mensal,3.5,104.4,4134.0,4029.6,Permaneceram
0,Masculino,0,0,0,2,1,0,Fibra optica,0,0,0,Mensal,2.5,75.0,151.8,76.8,Permaneceram
0,Feminino,0,0,1,1,1,1,Nao disponivel,0,0,0,Mensal,0.8,25.4,25.4,0.0,Permaneceram
0,Masculino,0,0,0,1,1,0,Nao disponivel,0,0,0,Mensal,0.7,20.2,20.2,0.0,Permaneceram
0,Masculino,0,0,0,3,1,0,Fibra optica,1,1,1,Mensal,3.6,108.0,318.6,210.7,Permaneceram
1,Masculino,0,0,0,1,1,0,DSL,0,0,0,Mensal,1.5,45.6,45.6,0.0,Saíram
1,Masculino,0,1,1,29,1,1,Fibra optica,0,0,1,Mensal,3.0,89.2,2698.4,2609.2,Saíram
0,Masculino,0,1,0,17,1,0,Fibra optica,0,1,1,Um ano,3.2,96.6,1588.2,1491.6,Permaneceram
0,Masculino,0,1,0,37,1,0,Nao disponivel,0,0,0,Mensal,0.7,20.4,697.6,677.3,Permaneceram
0,Feminino,0,1,0,22,1,0,DSL,0,0,0,Mensal,1.8,54.7,1178.8,1124.0,Permaneceram
0,Feminino,0,0,0,68,1,1,DSL,1,1,1,Dois anos,2.9,88.2,6148.4,6060.3,Permaneceram
0,Feminino,0,1,1,72,1,1,DSL,1,1,1,Dois anos,2.6,79.0,5730.2,5651.2,Permaneceram
1,Feminino,0,1,1,30,0,0,DSL,1,1,1,Mensal,1.7,51.2,1561.5,1510.3,Saíram
1,Feminino,1,0,0,31,1,1,Fibra optica,0,0,0,Mensal,2.5,73.9,2217.2,2143.2,Saíram
0,Feminino,0,1,1,16,1,0,Nao disponivel,0,0,0,Mensal,0.6,19.4,275.9,256.5,Permaneceram
0,Masculino,0,0,0,65,1,1,Nao disponivel,0,0,0,Dois anos,0.9,25.8,1654.8,1629.0,Permaneceram
1,Feminino,0,1,0,5,1,1,DSL,1,1,0,Mensal,2.3,68.0,350.3,282.4,Saíram
0,Feminino,0,0,0,55,1,1,Fibra optica,0,0,0,Mensal,2.4,73.1,4144.9,4071.8,Permaneceram
0,Masculino,0,0,0,1,1,1,DSL,0,0,0,Mensal,1.7,50.8,50.8,0.0,Permaneceram
0,Feminino,0,1,0,33,1,1,Fibra optica,1,0,1,Mensal,3.2,95.0,3008.2,2913.2,Permaneceram
0,Feminino,1,0,0,30,1,1,Fibra optica,0,1,1,Mensal,3.5,104.1,3121.1,3017.0,Permaneceram
0,Masculino,0,1,0,25,1,1,DSL,0,0,0,Mensal,1.9,55.6,1405.3,1349.8,Permaneceram
1,Masculino,0,0,0,3,0,0,DSL,0,0,0,Mensal,1.2,35.4,106.8,71.4,Saíram
1,Feminino,0,0,0,4,1,0,DSL,0,0,0,Mensal,1.7,50.7,151.3,100.6,Saíram
0,Masculino,0,0,0,1,1,0,Nao disponivel,0,0,0,Mensal,0.7,21.1,21.1,0.0,Permaneceram
1,Feminino,0,0,0,14,1,0,Fibra optica,0,1,1,Mensal,3.0,89.8,1129.1,1039.3,Saíram
1,Masculino,0,0,0,25,1,0,Fibra optica,0,0,0,Mensal,2.4,71.0,1767.4,1696.4,Saíram
0,Masculino,0,0,0,25,1,0,Nao disponivel,0,0,0,Mensal,0.7,20.2,536.4,516.2,Permaneceram
0,Feminino,0,1,0,72,1,1,Fibra optica,1,1,1,Dois anos,3.9,115.6,8312.4,8196.8,Permaneceram
0,Masculino,0,0,0,44,1,0,Nao disponivel,0,0,0,Um ano,0.6,19.5,835.5,816.0,Permaneceram
0,Feminino,0,0,0,18,1,0,Fibra optica,0,0,0,Mensal,2.5,75.4,1380.4,1305.0,Permaneceram
0,Feminino,1,0,0,7,1,0,Fibra optica,0,1,0,Mensal,2.8,84.4,609.6,525.3,Permaneceram
0,Feminino,0,1,1,59,1,1,DSL,1,1,0,Dois anos,2.4,72.1,4194.8,4122.8,Permaneceram
0,Feminino,0,1,0,70,1,1,DSL,1,1,1,Dois anos,2.8,84.8,5917.6,5832.8,Permaneceram
0,Feminino,0,1,1,40,1,1,Nao disponivel,0,0,0,Mensal,0.9,26.2,1077.5,1051.3,Permaneceram
0,Feminino,0,0,1,34,1,0,Fibra optica,0,1,1,Mensal,3.5,105.4,3688.6,3583.2,Permaneceram
0,Feminino,0,0,0,5,1,0,Fibra optica,0,1,0,Mensal,2.8,85.3,420.4,335.2,Permaneceram
1,Masculino,0,0,0,1,1,0,DSL,0,0,0,Mensal,1.5,45.6,45.6,0.0,Saíram
0,Masculino,0,1,1,68,0,0,DSL,0,1,0,Um ano,1.5,44.8,2983.6,2938.8,Permaneceram
0,Feminino,0,1,1,14,1,0,Nao disponivel,0,0,0,Dois anos,0.7,19.7,263.6,244.0,Permaneceram
0,Masculino,0,0,0,19,1,0,Fibra optica,1,1,0,Mensal,3.0,90.0,1682.4,1592.4,Permaneceram
1,Feminino,0,0,0,4,1,0,DSL,0,1,1,Mensal,2.3,68.6,261.2,192.6,Saíram
0,Feminino,0,1,0,67,1,1,Nao disponivel,0,0,0,Dois anos,0.8,25.2,1733.2,1707.9,Permaneceram
0,Feminino,1,1,0,50,1,1,Fibra optica,0,1,1,Mensal,3.6,108.8,5431.9,5323.2,Permaneceram
0,Masculino,0,0,0,43,0,0,DSL,0,0,0,Um ano,1.2,35.2,1463.7,1428.5,Permaneceram
0,Masculino,0,1,1,59,1,0,Nao disponivel,0,0,0,Dois anos,0.6,19.3,1192.7,1173.4,Permaneceram
0,Masculino,0,0,0,27,1,0,Nao disponivel,0,0,0,Um ano,0.7,20.1,562.6,542.5,Permaneceram
1,Feminino,0,1,1,22,1,0,DSL,0,0,0,Mensal,2.0,61.2,1422.0,1360.9,Saíram
0,Feminino,0,1,0,40,1,1,DSL,0,1,0,Um ano,2.1,63.9,2635.0,2571.1,Permaneceram
1,Feminino,0,1,0,37,1,1,Fibra optica,1,0,1,Um ano,3.3,99.2,3754.6,3655.4,Saíram
1,Feminino,0,0,0,15,1,1,Fibra optica,0,0,0,Mensal,2.7,79.8,1111.8,1032.1,Saíram
0,Feminino,0,0,0,28,1,1,DSL,1,0,0,Mensal,1.8,54.9,1505.2,1450.2,Permaneceram
1,Masculino,0,1,0,13,1,1,DSL,0,1,1,Um ano,2.5,75.3,989.4,914.2,Saíram
0,Masculino,0,0,0,5,1,0,Nao disponivel,0,0,0,Mensal,0.7,20.0,95.6,75.5,Permaneceram
0,Masculino,0,1,1,54,1,1,DSL,1,0,0,Dois anos,2.2,65.6,3566.7,3501.0,Permaneceram
0,Masculino,0,1,1,63,0,0,DSL,1,0,0,Dois anos,1.3,39.4,2395.0,2355.7,Permaneceram
0,Feminino,0,1,1,20,1,0,Nao disponivel,0,0,0,Mensal,0.7,20.0,406.0,386.0,Permaneceram
1,Feminino,0,0,1,46,1,0,Fibra optica,1,1,1,Um ano,3.5,105.2,4822.8,4717.7,Saíram
0,Feminino,0,1,0,72,1,1,DSL,1,1,1,Dois anos,3.1,92.4,6786.1,6693.7,Permaneceram
0,Feminino,0,1,0,71,1,1,Nao disponivel,0,0,0,Dois anos,0.9,25.6,1888.2,1862.6,Permaneceram
0,Masculino,0,1,1,32,1,0,Nao disponivel,0,0,0,Mensal,0.6,19.4,674.6,655.1,Permaneceram
0,Feminino,1,0,0,71,1,1,Fibra optica,0,1,1,Um ano,3.5,105.9,7522.0,7416.0,Permaneceram
0,Feminino,1,0,0,71,1,1,DSL,1,1,1,Dois anos,3.0,89.8,6293.4,6203.6,Permaneceram
0,Masculino,0,1,0,71,1,1,DSL,1,0,0,Dois anos,2.2,65.2,4681.8,4616.6,Permaneceram
0,Masculino,0,0,0,22,1,0,Fibra optica,0,0,0,Mensal,2.3,69.7,1490.4,1420.7,Permaneceram
1,Feminino,0,0,0,12,1,0,Fibra optica,0,1,1,Mensal,3.2,96.0,1062.1,966.1,Saíram
0,Masculino,0,1,1,68,1,0,Nao disponivel,0,0,0,Dois anos,0.7,20.0,1303.2,1283.3,Permaneceram
0,Masculino,0,0,0,2,1,0,DSL,0,0,0,Mensal,1.8,53.4,119.5,66.0,Permaneceram
0,Feminino,1,0,0,29,1,1,DSL,0,0,0,Mensal,2.0,58.6,1719.0,1660.4,Permaneceram
1,Feminino,0,0,0,7,0,0,DSL,0,0,1,Mensal,1.3,40.1,293.3,253.2,Saíram
0,Masculino,0,0,0,12,1,0,Fibra optica,0,0,1,Mensal,2.7,80.0,1043.4,963.4,Permaneceram
0,Feminino,0,0,0,34,1,0,DSL,0,0,0,Um ano,1.8,55.0,1885.2,1830.2,Permaneceram
1,Feminino,0,1,0,22,1,1,DSL,1,1,1,Mensal,2.6,79.2,1742.8,1663.6,Saíram
1,Feminino,0,0,1,15,1,0,Fibra optica,0,0,1,Mensal,2.9,85.9,1269.6,1183.6,Saíram
0,Feminino,0,1,0,40,1,1,Fibra optica,1,0,0,Mensal,2.6,78.8,3126.8,3048.0,Permaneceram
0,Feminino,0,1,0,72,1,1,Fibra optica,0,0,1,Dois anos,3.1,94.4,6921.7,6827.2,Permaneceram
0,Feminino,0,1,0,72,0,0,DSL,0,0,1,Dois anos,1.6,49.2,3581.0,3531.8,Permaneceram
0,Feminino,0,0,0,45,1,1,DSL,1,0,1,Dois anos,2.5,73.6,3349.1,3275.5,Permaneceram
0,Masculino,0,1,1,72,1,0,Fibra optica,1,1,1,Dois anos,3.7,112.0,8033.1,7921.2,Permaneceram
0,Feminino,0,1,0,71,1,1,DSL,1,1,1,Dois anos,3.0,89.3,6388.6,6299.3,Permaneceram
0,Masculino,1,1,0,18,1,0,DSL,0,0,1,Mensal,2.0,59.1,1011.0,952.0,Permaneceram
1,Feminino,0,1,0,47,1,0,Fibra optica,0,0,1,Mensal,2.8,85.3,4045.6,3960.4,Saíram
0,Feminino,1,1,1,68,0,0,DSL,0,1,1,Dois anos,1.8,53.0,3656.2,3603.2,Permaneceram
0,Feminino,0,0,0,68,1,1,DSL,0,1,1,Dois anos,2.7,80.6,5330.2,5249.6,Permaneceram
1,Masculino,0,0,0,1,1,0,Fibra optica,0,1,0,Mensal,2.8,84.8,84.8,0.0,Saíram
0,Feminino,0,1,0,34,1,1,DSL,1,0,0,Mensal,2.0,60.8,2003.6,1942.8,Permaneceram
0,Feminino,0,1,0,24,1,1,Fibra optica,0,0,0,Mensal,2.7,79.6,1928.7,1849.0,Permaneceram
0,Masculino,1,1,1,58,1,1,Fibra optica,1,0,0,Um ano,3.0,89.8,5125.8,5035.9,Permaneceram
1,Masculino,1,0,0,7,1,1,Fibra optica,0,1,0,Mensal,2.8,84.8,547.0,462.2,Saíram
1,Masculino,0,0,0,1,1,0,DSL,0,0,0,Mensal,1.7,50.8,50.8,0.0,Saíram
1,Masculino,0,0,0,7,1,0,DSL,0,0,0,Mensal,1.7,51.0,354.0,303.0,Saíram
0,Feminino,1,1,0,37,1,0,Fibra optica,1,1,0,Mensal,3.0,90.0,3371.8,3281.8,Permaneceram
0,Masculino,0,1,1,52,1,1,Nao disponivel,0,0,0,Dois anos,0.8,24.6,1331.0,1306.5,Permaneceram
0,Feminino,0,1,1,45,1,0,Nao disponivel,0,0,0,Dois anos,0.7,20.0,886.4,866.4,Permaneceram
0,Masculino,0,1,1,43,1,1,Nao disponivel,0,0,0,Dois anos,0.8,24.2,1078.0,1053.7,Permaneceram
0,Feminino,0,1,1,26,1,0,Fibra optica,0,0,0,Mensal,2.7,82.0,2070.0,1988.1,Permaneceram
0,Masculino,0,0,0,56,1,1,Fibra optica,0,1,1,Mensal,3.3,98.6,5581.0,5482.4,Permaneceram
0,Feminino,0,0,0,1,0,0,DSL,0,0,0,Mensal,0.8,25.2,25.2,0.0,Permaneceram
0,Feminino,0,1,1,68,1,1,DSL,1,1,1,Dois anos,2.8,85.3,5560.0,5474.7,Permaneceram
0,Masculino,0,1,1,27,0,0,DSL,0,0,1,Um ano,1.5,45.8,1246.4,1200.6,Permaneceram
0,Masculino,0,0,0,9,1,1,Fibra optica,0,1,0,Mensal,2.8,85.5,791.7,706.2,Permaneceram
1,Masculino,0,0,0,8,1,0,DSL,0,0,0,Mensal,1.5,45.2,438.4,393.2,Saíram
0,Feminino,0,0,0,1,1,0,Nao disponivel,0,0,0,Mensal,0.6,19.4,19.4,0.0,Permaneceram
0,Masculino,0,1,1,71,1,1,Fibra optica,1,1,1,Dois anos,3.9,116.0,8297.5,8181.4,Permaneceram
1,Feminino,0,0,0,15,1,0,Nao disponivel,0,0,0,Mensal,0.6,19.4,289.3,269.9,Saíram
1,Feminino,0,1,1,70,1,1,Fibra optica,1,0,0,Dois anos,3.1,93.9,6579.0,6485.2,Saíram
0,Feminino,0,1,1,72,1,1,DSL,1,1,1,Dois anos,2.9,85.9,6110.8,6024.8,Permaneceram
0,Feminino,0,0,0,21,1,0,Fibra optica,1,1,1,Mensal,3.3,99.2,1956.4,1857.2,Permaneceram
0,Feminino,0,0,0,54,1,0,Nao disponivel,0,0,0,Dois anos,0.7,20.1,1079.4,1059.4,Permaneceram
0,Feminino,0,1,1,8,1,0,Nao disponivel,0,0,0,Dois anos,0.6,19.5,162.2,142.6,Permaneceram
0,Feminino,0,0,0,24,1,0,DSL,0,0,0,Mensal,1.6,49.3,1233.2,1184.0,Permaneceram
0,Feminino,0,1,1,48,1,0,Nao disponivel,0,0,0,Dois anos,0.7,19.6,883.4,863.8,Permaneceram
1,Feminino,0,1,0,1,1,0,DSL,0,1,0,Mensal,1.8,55.2,55.2,0.0,Saíram
0,Feminino,0,1,1,5,1,1,Nao disponivel,0,0,0,Mensal,0.8,24.3,132.2,108.0,Permaneceram
0,Masculino,0,1,1,17,0,0,DSL,0,1,0,Um ano,1.5,44.4,792.2,747.7,Permaneceram
0,Masculino,0,1,0,72,1,0,DSL,1,1,1,Dois anos,2.6,79.4,5753.2,5673.9,Permaneceram
0,Feminino,0,1,1,72,1,1,Fibra optica,0,1,1,Um ano,3.4,103.2,7362.9,7259.7,Permaneceram
0,Feminino,1,0,0,6,0,0,DSL,0,1,1,Mensal,1.5,44.4,263.0,218.6,Permaneceram
0,Feminino,0,1,0,72,1,1,DSL,1,1,0,Dois anos,2.6,79.2,5401.9,5322.7,Permaneceram
1,Feminino,0,1,1,4,1,1,DSL,0,0,0,Mensal,1.7,50.8,239.6,188.7,Saíram
0,Masculino,0,1,1,62,1,0,Nao disponivel,0,0,0,Dois anos,0.7,20.6,1218.4,1197.8,Permaneceram
1,Feminino,0,0,0,39,1,0,Fibra optica,1,1,0,Um ano,3.2,95.6,3692.8,3597.3,Saíram
0,Masculino,0,1,1,1,1,0,Nao disponivel,0,0,0,Um ano,0.7,20.4,20.4,0.0,Permaneceram
0,Feminino,0,1,0,51,1,0,DSL,1,0,0,Um ano,2.0,60.5,3145.2,3084.6,Permaneceram
1,Masculino,0,0,0,58,1,1,Fibra optica,0,1,1,Um ano,3.4,103.2,6017.6,5914.4,Saíram
0,Masculino,0,0,1,38,1,1,Fibra optica,0,0,0,Mensal,2.7,81.8,3141.7,3059.8,Permaneceram
0,Masculino,0,0,0,33,1,1,Fibra optica,0,0,0,Um ano,2.7,80.1,2603.3,2523.2,Permaneceram
0,Masculino,0,0,0,20,1,0,Nao disponivel,0,0,0,Mensal,0.6,19.4,415.4,396.0,Permaneceram
0,Feminino,0,1,1,31,1,1,DSL,1,1,1,Dois anos,2.7,80.6,2471.6,2391.0,Permaneceram
1,Feminino,0,1,1,20,1,1,Fibra optica,0,1,1,Mensal,3.5,105.8,2239.6,2133.8,Saíram
0,Masculino,0,1,1,64,1,0,Fibra optica,0,0,0,Mensal,2.7,81.0,5135.4,5054.3,Permaneceram
0,Masculino,0,1,0,72,1,1,DSL,1,0,1,Dois anos,2.7,79.6,5810.9,5731.3,Permaneceram
0,Masculino,0,1,1,9,1,1,Fibra optica,0,1,0,Um ano,3.0,90.4,767.9,677.6,Permaneceram
0,Masculino,0,0,0,61,1,1,Fibra optica,0,1,1,Um ano,3.5,104.0,6363.4,6259.4,Permaneceram
0,Masculino,0,0,1,52,1,1,DSL,1,1,1,Dois anos,2.8,85.2,4461.8,4376.7,Permaneceram
0,Feminino,0,1,1,69,0,0,DSL,1,0,0,Dois anos,1.5,46.2,3121.4,3075.2,Permaneceram
0,Feminino,0,0,0,1,1,1,Fibra optica,0,0,0,Mensal,2.6,79.2,79.2,0.0,Permaneceram
0,Masculino,0,1,1,68,1,0,DSL,1,1,1,Dois anos,2.4,73.0,4953.2,4880.3,Permaneceram
0,Masculino,0,1,0,14,1,1,DSL,1,1,0,Mensal,2.2,66.6,979.5,912.9,Permaneceram
0,Masculino,0,0,0,7,0,0,DSL,1,0,0,Um ano,1.2,35.5,249.6,214.0,Permaneceram
1,Feminino,1,0,0,2,1,0,Fibra optica,0,0,0,Mensal,2.3,70.2,116.0,45.8,Saíram
0,Feminino,0,0,0,1,1,0,Fibra optica,0,0,0,Mensal,2.3,70.1,70.1,0.0,Permaneceram
0,Masculino,0,1,1,51,1,1,Nao disponivel,0,0,0,Dois anos,0.8,25.0,1222.2,1197.3,Permaneceram
1,Feminino,1,1,0,4,1,1,Fibra optica,0,1,1,Mensal,3.3,99.6,347.6,248.0,Saíram
0,Masculino,0,1,1,15,1,0,Nao disponivel,0,0,0,Dois anos,0.6,19.4,278.8,259.5,Permaneceram
0,Feminino,0,1,0,72,1,1,Fibra optica,1,1,1,Um ano,3.6,109.2,7789.6,7680.4,Permaneceram
0,Masculino,0,1,0,50,1,1,Fibra optica,0,0,1,Mensal,3.1,94.4,4914.9,4820.5,Permaneceram
0,Feminino,1,1,0,57,1,1,Fibra optica,0,0,1,Mensal,3.1,94.0,5439.0,5345.0,Permaneceram
0,Feminino,0,1,0,44,1,1,Fibra optica,1,0,0,Mensal,3.2,95.1,4060.6,3965.4,Permaneceram
0,Feminino,0,1,1,62,1,1,Fibra optica,1,1,1,Um ano,3.7,110.8,6841.0,6730.2,Permaneceram
1,Feminino,1,0,0,14,1,1,Fibra optica,0,0,0,Mensal,2.5,74.3,1096.2,1022.0,Saíram
